WARNING 2019-08-15 01:24:02,019 basehttp 124 "GET /image_codes/9ee9bbee-437e-4f34-98f1-9f5dcf3373dd/ HTTP/1.1" 400 62407
ERROR 2019-08-15 01:24:10,161 exception 80 Invalid HTTP_HOST header: 'www.meiduo.site:8000'. You may need to add 'www.meiduo.site' to ALLOWED_HOSTS.
WARNING 2019-08-15 01:24:10,227 basehttp 124 "GET /usernames/python1/count/ HTTP/1.1" 400 62266
ERROR 2019-08-15 01:24:29,309 exception 80 Invalid HTTP_HOST header: 'www.meiduo.site:8000'. You may need to add 'www.meiduo.site' to ALLOWED_HOSTS.
WARNING 2019-08-15 01:24:29,388 basehttp 124 "GET /usernames/python1/count/ HTTP/1.1" 400 62266
ERROR 2019-08-15 01:24:56,380 exception 80 Invalid HTTP_HOST header: 'www.meiduo.site:8000'. You may need to add 'www.meiduo.site' to ALLOWED_HOSTS.
WARNING 2019-08-15 01:24:56,442 basehttp 124 "GET /usernames/python1/count/ HTTP/1.1" 400 62266
ERROR 2019-08-15 01:25:00,620 exception 80 Invalid HTTP_HOST header: 'www.meiduo.site:8000'. You may need to add 'www.meiduo.site' to ALLOWED_HOSTS.
WARNING 2019-08-15 01:25:00,710 basehttp 124 "GET /usernames/python1/count/ HTTP/1.1" 400 62266
INFO 2019-08-15 01:33:39,480 basehttp 124 "GET /register/ HTTP/1.1" 200 4675
ERROR 2019-08-15 01:33:39,627 exception 80 Invalid HTTP_HOST header: 'www.meiduo.site:8000'. You may need to add 'www.meiduo.site' to ALLOWED_HOSTS.
WARNING 2019-08-15 01:33:39,741 basehttp 124 "GET /image_codes/305d99d1-7ea8-4d1a-8d18-800d40461b81/ HTTP/1.1" 400 62407
ERROR 2019-08-15 01:33:43,585 exception 80 Invalid HTTP_HOST header: 'www.meiduo.site:8000'. You may need to add 'www.meiduo.site' to ALLOWED_HOSTS.
WARNING 2019-08-15 01:33:43,688 basehttp 124 "GET /usernames/python/count/ HTTP/1.1" 400 62255
WARNING 2019-08-15 01:34:13,192 basehttp 124 "GET /static/js/axios.min.map HTTP/1.1" 404 1661
INFO 2019-08-15 01:34:21,930 basehttp 124 "GET /register/ HTTP/1.1" 200 4675
INFO 2019-08-15 01:34:21,965 basehttp 124 "GET /static/css/reset.css HTTP/1.1" 200 638
INFO 2019-08-15 01:34:21,984 basehttp 124 "GET /static/css/main.css HTTP/1.1" 200 39722
INFO 2019-08-15 01:34:21,987 basehttp 124 "GET /static/js/host.js HTTP/1.1" 200 80
INFO 2019-08-15 01:34:21,992 basehttp 124 "GET /static/images/logo.png HTTP/1.1" 200 7450
INFO 2019-08-15 01:34:21,997 basehttp 124 "GET /static/js/vue-2.5.16.js HTTP/1.1" 200 289307
INFO 2019-08-15 01:34:21,999 basehttp 124 "GET /static/js/axios-0.18.0.min.js HTTP/1.1" 200 12941
INFO 2019-08-15 01:34:22,000 basehttp 124 "GET /static/js/register.js HTTP/1.1" 200 19365
INFO 2019-08-15 01:34:22,076 basehttp 124 "GET /static/images/interval_line.png HTTP/1.1" 200 1123
INFO 2019-08-15 01:34:22,077 basehttp 124 "GET /static/images/icons02.png HTTP/1.1" 200 3935
INFO 2019-08-15 01:34:22,078 basehttp 124 "GET /static/images/register_banner.png HTTP/1.1" 200 54894
WARNING 2019-08-15 01:34:22,238 basehttp 124 "GET /static/js/axios.min.map HTTP/1.1" 404 1661
WARNING 2019-08-15 01:34:22,308 base 152 Not Found: /image_codes/1ea5e74d-fe2b-4fc9-a00e-94c45e957eaf/
WARNING 2019-08-15 01:34:22,309 basehttp 124 "GET /image_codes/1ea5e74d-fe2b-4fc9-a00e-94c45e957eaf/ HTTP/1.1" 404 2446
INFO 2019-08-15 01:34:29,615 basehttp 124 "GET /usernames/python/count/ HTTP/1.1" 200 12
INFO 2019-08-15 01:34:41,842 basehttp 124 "GET /usernames/python1/count/ HTTP/1.1" 200 12
WARNING 2019-08-15 01:37:26,068 base 152 Not Found: /mobiles/18210094341/count/
WARNING 2019-08-15 01:37:26,078 basehttp 124 "GET /mobiles/18210094341/count/ HTTP/1.1" 404 2377
INFO 2019-08-15 01:40:23,690 basehttp 124 "GET /register/ HTTP/1.1" 200 4675
INFO 2019-08-15 01:40:24,092 basehttp 124 "GET /static/js/host.js HTTP/1.1" 304 0
WARNING 2019-08-15 01:40:25,061 base 152 Not Found: /image_codes/377f4c4e-9d5d-46a7-b5b0-03d8f7225410/
WARNING 2019-08-15 01:40:25,062 basehttp 124 "GET /image_codes/377f4c4e-9d5d-46a7-b5b0-03d8f7225410/ HTTP/1.1" 404 2640
INFO 2019-08-15 01:40:26,399 basehttp 124 "GET /register/ HTTP/1.1" 200 4675
WARNING 2019-08-15 01:40:26,547 base 152 Not Found: /image_codes/1be90e9c-ecd3-440b-a6ba-b01ea28e5da9/
WARNING 2019-08-15 01:40:26,549 basehttp 124 "GET /image_codes/1be90e9c-ecd3-440b-a6ba-b01ea28e5da9/ HTTP/1.1" 404 2640
INFO 2019-08-15 01:40:32,082 basehttp 124 "GET /mobiles/18210094341/count/ HTTP/1.1" 200 12
INFO 2019-08-15 01:40:34,822 basehttp 124 "GET /mobiles/18210094342/count/ HTTP/1.1" 200 12
INFO 2019-08-15 02:04:56,932 basehttp 124 "GET /register/ HTTP/1.1" 200 4675
INFO 2019-08-15 02:04:56,966 basehttp 124 "GET /static/js/host.js HTTP/1.1" 304 0
WARNING 2019-08-15 02:04:57,111 base 152 Not Found: /image_codes/8d812896-f1ee-424c-bdd6-b16fbbabb733/
WARNING 2019-08-15 02:04:57,112 basehttp 124 "GET /image_codes/8d812896-f1ee-424c-bdd6-b16fbbabb733/ HTTP/1.1" 404 2640
WARNING 2019-08-15 02:04:59,959 basehttp 124 "GET /static/js/axios.min.map HTTP/1.1" 404 1661
INFO 2019-08-15 02:05:01,240 basehttp 124 "GET /register/ HTTP/1.1" 200 4675
INFO 2019-08-15 02:05:01,273 basehttp 124 "GET /static/css/reset.css HTTP/1.1" 200 638
INFO 2019-08-15 02:05:01,301 basehttp 124 "GET /static/css/main.css HTTP/1.1" 200 39722
INFO 2019-08-15 02:05:01,305 basehttp 124 "GET /static/js/host.js HTTP/1.1" 200 80
INFO 2019-08-15 02:05:01,306 basehttp 124 "GET /static/images/logo.png HTTP/1.1" 200 7450
INFO 2019-08-15 02:05:01,307 basehttp 124 "GET /static/js/axios-0.18.0.min.js HTTP/1.1" 200 12941
INFO 2019-08-15 02:05:01,309 basehttp 124 "GET /static/js/register.js HTTP/1.1" 200 19489
INFO 2019-08-15 02:05:01,313 basehttp 124 "GET /static/js/vue-2.5.16.js HTTP/1.1" 200 289307
WARNING 2019-08-15 02:05:01,544 basehttp 124 "GET /static/js/axios.min.map HTTP/1.1" 404 1661
WARNING 2019-08-15 02:05:01,594 base 152 Not Found: /image_codes/f0c8be83-549e-4476-8a05-eecbddd29587/
WARNING 2019-08-15 02:05:01,602 basehttp 124 "GET /image_codes/f0c8be83-549e-4476-8a05-eecbddd29587/ HTTP/1.1" 404 2640
INFO 2019-08-15 02:05:01,613 basehttp 124 "GET /static/images/interval_line.png HTTP/1.1" 200 1123
INFO 2019-08-15 02:05:01,624 basehttp 124 "GET /static/images/register_banner.png HTTP/1.1" 200 54894
INFO 2019-08-15 02:05:01,624 basehttp 124 "GET /static/images/icons02.png HTTP/1.1" 200 3935
INFO 2019-08-15 02:05:54,756 basehttp 124 "GET /register/ HTTP/1.1" 200 4675
INFO 2019-08-15 02:05:54,783 basehttp 124 "GET /static/css/reset.css HTTP/1.1" 200 638
INFO 2019-08-15 02:05:54,795 basehttp 124 "GET /static/css/main.css HTTP/1.1" 200 39722
INFO 2019-08-15 02:05:54,813 basehttp 124 "GET /static/js/host.js HTTP/1.1" 200 80
INFO 2019-08-15 02:05:54,817 basehttp 124 "GET /static/js/axios-0.18.0.min.js HTTP/1.1" 200 12941
INFO 2019-08-15 02:05:54,818 basehttp 124 "GET /static/images/logo.png HTTP/1.1" 200 7450
INFO 2019-08-15 02:05:54,819 basehttp 124 "GET /static/js/register.js HTTP/1.1" 200 19492
